"d_phi_p [deg]","fc [GHz]","Time [us]","re(SP(i1)) [mV]","re(SP(i2)) [mV]","re(SP(i3)) [mV]","re(SP(i4)) [mV]","re(SP(q1)) [mV]","re(SP(q2)) [mV]","re(SP(q3)) [mV]","re(SP(q4)) [mV]"
80,2.422,96,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
80,2.422,104,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
80,2.422,112,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
80,2.422,120,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
80,2.422,128,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
80,2.422,136,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
81,2.422,0,65.7016411617591,54.16161193117,53.1577550139206,65.5498881403343,-38.9226444716729,-15.9982549674446,-12.483642850483,-35.423250993503
81,2.422,8,65.7021623377451,54.1617881791288,53.1581081203443,65.5506873731686,-38.9246397381774,-15.9978336051317,-12.4826682416296,-35.4250506192331
81,2.422,16,65.7025334232327,54.1619144191786,53.1583594791759,65.5512555450155,-38.9260548096791,-15.9975352601011,-12.481977677905,-35.4263269187301
81,2.422,24,65.7029066369643,54.1620420038738,53.1586122312118,65.5518262340011,-38.9274733638153,-15.9972365897812,-12.4812859499444,-35.4276063420278
81,2.422,32,65.703438088891,54.1622247442883,53.1589720645387,65.5526376204844,-38.9294854456415,-15.9968136568953,-12.4803057198127,-35.4294210505087
81,2.422,40,65.7047388624574,54.1626771706428,53.1598523874704,65.5546174011287,-38.9343717183207,-15.9957900049165,-12.4779297501782,-35.4338278636479
81,2.422,48,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
81,2.422,56,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
81,2.422,64,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
81,2.422,72,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
81,2.422,80,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
81,2.422,88,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
81,2.422,96,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
81,2.422,104,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
81,2.422,112,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
81,2.422,120,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
81,2.422,128,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
81,2.422,136,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
82,2.422,0,65.7016411617591,54.16161193117,53.1577550139206,65.5498881403343,-38.9226444716729,-15.9982549674446,-12.483642850483,-35.423250993503
82,2.422,8,65.7021623377451,54.1617881791288,53.1581081203443,65.5506873731686,-38.9246397381774,-15.9978336051317,-12.4826682416296,-35.4250506192331
82,2.422,16,65.7025334232327,54.1619144191786,53.1583594791759,65.5512555450155,-38.9260548096791,-15.9975352601011,-12.481977677905,-35.4263269187301
82,2.422,24,65.7029066369643,54.1620420038738,53.1586122312118,65.5518262340011,-38.9274733638153,-15.9972365897812,-12.4812859499444,-35.4276063420278
82,2.422,32,65.703438088891,54.1622247442883,53.1589720645387,65.5526376204844,-38.9294854456415,-15.9968136568953,-12.4803057198127,-35.4294210505087
82,2.422,40,65.7047388624574,54.1626771706428,53.1598523874704,65.5546174011287,-38.9343717183207,-15.9957900049165,-12.4779297501782,-35.4338278636479
82,2.422,48,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
82,2.422,56,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
82,2.422,64,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
82,2.422,72,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
82,2.422,80,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
82,2.422,88,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
82,2.422,96,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
82,2.422,104,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
82,2.422,112,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
82,2.422,120,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
82,2.422,128,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
82,2.422,136,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
83,2.422,0,65.7016411617591,54.16161193117,53.1577550139206,65.5498881403343,-38.9226444716729,-15.9982549674446,-12.483642850483,-35.423250993503
83,2.422,8,65.7021623377451,54.1617881791288,53.1581081203443,65.5506873731686,-38.9246397381774,-15.9978336051317,-12.4826682416296,-35.4250506192331
83,2.422,16,65.7025334232327,54.1619144191786,53.1583594791759,65.5512555450155,-38.9260548096791,-15.9975352601011,-12.481977677905,-35.4263269187301
83,2.422,24,65.7029066369643,54.1620420038738,53.1586122312118,65.5518262340011,-38.9274733638153,-15.9972365897812,-12.4812859499444,-35.4276063420278
83,2.422,32,65.703438088891,54.1622247442883,53.1589720645387,65.5526376204844,-38.9294854456415,-15.9968136568953,-12.4803057198127,-35.4294210505087
83,2.422,40,65.7047388624574,54.1626771706428,53.1598523874704,65.5546174011287,-38.9343717183207,-15.9957900049165,-12.4779297501782,-35.4338278636479
83,2.422,48,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
83,2.422,56,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
83,2.422,64,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
83,2.422,72,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
83,2.422,80,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
83,2.422,88,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
83,2.422,96,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
83,2.422,104,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
83,2.422,112,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
83,2.422,120,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
83,2.422,128,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
83,2.422,136,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
84,2.422,0,65.7016411617591,54.16161193117,53.1577550139206,65.5498881403343,-38.9226444716729,-15.9982549674446,-12.483642850483,-35.423250993503
84,2.422,8,65.7021623377451,54.1617881791288,53.1581081203443,65.5506873731686,-38.9246397381774,-15.9978336051317,-12.4826682416296,-35.4250506192331
84,2.422,16,65.7025334232327,54.1619144191786,53.1583594791759,65.5512555450155,-38.9260548096791,-15.9975352601011,-12.481977677905,-35.4263269187301
84,2.422,24,65.7029066369643,54.1620420038738,53.1586122312118,65.5518262340011,-38.9274733638153,-15.9972365897812,-12.4812859499444,-35.4276063420278
84,2.422,32,65.703438088891,54.1622247442883,53.1589720645387,65.5526376204844,-38.9294854456415,-15.9968136568953,-12.4803057198127,-35.4294210505087
84,2.422,40,65.7047388624574,54.1626771706428,53.1598523874704,65.5546174011287,-38.9343717183207,-15.9957900049165,-12.4779297501782,-35.4338278636479
84,2.422,48,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
84,2.422,56,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
84,2.422,64,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
84,2.422,72,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
84,2.422,80,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
84,2.422,88,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
84,2.422,96,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
84,2.422,104,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
84,2.422,112,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
84,2.422,120,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
84,2.422,128,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
84,2.422,136,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
85,2.422,0,65.7016411617591,54.16161193117,53.1577550139206,65.5498881403343,-38.9226444716729,-15.9982549674446,-12.483642850483,-35.423250993503
85,2.422,8,65.7021623377451,54.1617881791288,53.1581081203443,65.5506873731686,-38.9246397381774,-15.9978336051317,-12.4826682416296,-35.4250506192331
85,2.422,16,65.7025334232327,54.1619144191786,53.1583594791759,65.5512555450155,-38.9260548096791,-15.9975352601011,-12.481977677905,-35.4263269187301
85,2.422,24,65.7029066369643,54.1620420038738,53.1586122312118,65.5518262340011,-38.9274733638153,-15.9972365897812,-12.4812859499444,-35.4276063420278
85,2.422,32,65.703438088891,54.1622247442883,53.1589720645387,65.5526376204844,-38.9294854456415,-15.9968136568953,-12.4803057198127,-35.4294210505087
85,2.422,40,65.7047388624574,54.1626771706428,53.1598523874704,65.5546174011287,-38.9343717183207,-15.9957900049165,-12.4779297501782,-35.4338278636479
85,2.422,48,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
85,2.422,56,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
85,2.422,64,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
85,2.422,72,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
85,2.422,80,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
85,2.422,88,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
85,2.422,96,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
85,2.422,104,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
85,2.422,112,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
85,2.422,120,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
85,2.422,128,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
85,2.422,136,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
86,2.422,0,65.7016411617591,54.16161193117,53.1577550139206,65.5498881403343,-38.9226444716729,-15.9982549674446,-12.483642850483,-35.423250993503
86,2.422,8,65.7021623377451,54.1617881791288,53.1581081203443,65.5506873731686,-38.9246397381774,-15.9978336051317,-12.4826682416296,-35.4250506192331
86,2.422,16,65.7025334232327,54.1619144191786,53.1583594791759,65.5512555450155,-38.9260548096791,-15.9975352601011,-12.481977677905,-35.4263269187301
86,2.422,24,65.7029066369643,54.1620420038738,53.1586122312118,65.5518262340011,-38.9274733638153,-15.9972365897812,-12.4812859499444,-35.4276063420278
86,2.422,32,65.703438088891,54.1622247442883,53.1589720645387,65.5526376204844,-38.9294854456415,-15.9968136568953,-12.4803057198127,-35.4294210505087
86,2.422,40,65.7047388624574,54.1626771706428,53.1598523874704,65.5546174011287,-38.9343717183207,-15.9957900049165,-12.4779297501782,-35.4338278636479
86,2.422,48,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
86,2.422,56,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
86,2.422,64,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
86,2.422,72,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
86,2.422,80,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
86,2.422,88,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
86,2.422,96,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
86,2.422,104,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
86,2.422,112,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
86,2.422,120,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
86,2.422,128,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
86,2.422,136,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
87,2.422,0,65.7016411617591,54.16161193117,53.1577550139206,65.5498881403343,-38.9226444716729,-15.9982549674446,-12.483642850483,-35.423250993503
87,2.422,8,65.7021623377451,54.1617881791288,53.1581081203443,65.5506873731686,-38.9246397381774,-15.9978336051317,-12.4826682416296,-35.4250506192331
87,2.422,16,65.7025334232327,54.1619144191786,53.1583594791759,65.5512555450155,-38.9260548096791,-15.9975352601011,-12.481977677905,-35.4263269187301
87,2.422,24,65.7029066369643,54.1620420038738,53.1586122312118,65.5518262340011,-38.9274733638153,-15.9972365897812,-12.4812859499444,-35.4276063420278
87,2.422,32,65.703438088891,54.1622247442883,53.1589720645387,65.5526376204844,-38.9294854456415,-15.9968136568953,-12.4803057198127,-35.4294210505087
87,2.422,40,65.7047388624574,54.1626771706428,53.1598523874704,65.5546174011287,-38.9343717183207,-15.9957900049165,-12.4779297501782,-35.4338278636479
87,2.422,48,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
87,2.422,56,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
87,2.422,64,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
87,2.422,72,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
87,2.422,80,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
87,2.422,88,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
87,2.422,96,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
87,2.422,104,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
87,2.422,112,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
87,2.422,120,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
87,2.422,128,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
87,2.422,136,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
88,2.422,0,65.7016411617591,54.16161193117,53.1577550139206,65.5498881403343,-38.9226444716729,-15.9982549674446,-12.483642850483,-35.423250993503
88,2.422,8,65.7021623377451,54.1617881791288,53.1581081203443,65.5506873731686,-38.9246397381774,-15.9978336051317,-12.4826682416296,-35.4250506192331
88,2.422,16,65.7025334232327,54.1619144191786,53.1583594791759,65.5512555450155,-38.9260548096791,-15.9975352601011,-12.481977677905,-35.4263269187301
88,2.422,24,65.7029066369643,54.1620420038738,53.1586122312118,65.5518262340011,-38.9274733638153,-15.9972365897812,-12.4812859499444,-35.4276063420278
88,2.422,32,65.703438088891,54.1622247442883,53.1589720645387,65.5526376204844,-38.9294854456415,-15.9968136568953,-12.4803057198127,-35.4294210505087
88,2.422,40,65.7047388624574,54.1626771706428,53.1598523874704,65.5546174011287,-38.9343717183207,-15.9957900049165,-12.4779297501782,-35.4338278636479
88,2.422,48,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
88,2.422,56,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
88,2.422,64,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
88,2.422,72,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
88,2.422,80,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
88,2.422,88,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
88,2.422,96,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
88,2.422,104,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
88,2.422,112,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
88,2.422,120,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
88,2.422,128,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
88,2.422,136,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
89,2.422,0,65.7016411617591,54.16161193117,53.1577550139206,65.5498881403343,-38.9226444716729,-15.9982549674446,-12.483642850483,-35.423250993503
89,2.422,8,65.7021623377451,54.1617881791288,53.1581081203443,65.5506873731686,-38.9246397381774,-15.9978336051317,-12.4826682416296,-35.4250506192331
89,2.422,16,65.7025334232327,54.1619144191786,53.1583594791759,65.5512555450155,-38.9260548096791,-15.9975352601011,-12.481977677905,-35.4263269187301
89,2.422,24,65.7029066369643,54.1620420038738,53.1586122312118,65.5518262340011,-38.9274733638153,-15.9972365897812,-12.4812859499444,-35.4276063420278
89,2.422,32,65.703438088891,54.1622247442883,53.1589720645387,65.5526376204844,-38.9294854456415,-15.9968136568953,-12.4803057198127,-35.4294210505087
89,2.422,40,65.7047388624574,54.1626771706428,53.1598523874704,65.5546174011287,-38.9343717183207,-15.9957900049165,-12.4779297501782,-35.4338278636479
89,2.422,48,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
89,2.422,56,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
89,2.422,64,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
89,2.422,72,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
89,2.422,80,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
89,2.422,88,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
89,2.422,96,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
89,2.422,104,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
89,2.422,112,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
89,2.422,120,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
89,2.422,128,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
89,2.422,136,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
90,2.422,0,65.7016411617591,54.16161193117,53.1577550139206,65.5498881403343,-38.9226444716729,-15.9982549674446,-12.483642850483,-35.423250993503
90,2.422,8,65.7021623377451,54.1617881791288,53.1581081203443,65.5506873731686,-38.9246397381774,-15.9978336051317,-12.4826682416296,-35.4250506192331
90,2.422,16,65.7025334232327,54.1619144191786,53.1583594791759,65.5512555450155,-38.9260548096791,-15.9975352601011,-12.481977677905,-35.4263269187301
90,2.422,24,65.7029066369643,54.1620420038738,53.1586122312118,65.5518262340011,-38.9274733638153,-15.9972365897812,-12.4812859499444,-35.4276063420278
90,2.422,32,65.703438088891,54.1622247442883,53.1589720645387,65.5526376204844,-38.9294854456415,-15.9968136568953,-12.4803057198127,-35.4294210505087
90,2.422,40,65.7047388624574,54.1626771706428,53.1598523874704,65.5546174011287,-38.9343717183207,-15.9957900049165,-12.4779297501782,-35.4338278636479
90,2.422,48,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
90,2.422,56,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
90,2.422,64,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
90,2.422,72,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
90,2.422,80,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
90,2.422,88,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
90,2.422,96,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
90,2.422,104,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
90,2.422,112,65.3636691293459,53.9819099831743,52.9407683678868,65.1183099144654,-38.1699682133543,-16.1096918538809,-12.7891899128279,-34.7475934066535
